x,y,z,CdrA,Cell,Tomogram
233.075,1194.61,201.746,12,2,d01t11_even
233.242,1198.72,201.595,12,2,d01t11_even
234.126,1207.08,201.277,12,2,d01t11_even
235.367,1217.56,200.875,12,2,d01t11_even
235.701,1225.78,200.573,12,2,d01t11_even
237.817,1233.86,200.238,12,2,d01t11_even
238.892,1240.22,199.987,12,2,d01t11_even
243.531,1246.29,199.669,12,2,d01t11_even
246.296,1249.28,199.501,12,2,d01t11_even
276.5,312.5,161.609,13,2,d01t11_even
271.167,299.224,161.013,13,2,d01t11_even
266.559,283.394,160.322,13,2,d01t11_even
262.741,267.582,159.641,13,2,d01t11_even
258.592,252.394,158.982,13,2,d01t11_even
254.827,241.008,158.479,13,2,d01t11_even
253.212,232.358,158.113,13,2,d01t11_even
810.333,560.333,164.0,14,2,d01t11_even
822.405,564.048,165.018,14,2,d01t11_even
836.719,568.803,166.249,14,2,d01t11_even
854.053,571.083,167.506,14,2,d01t11_even
866.407,575.465,168.587,14,2,d01t11_even
872.571,575.113,168.955,14,2,d01t11_even
882.655,580.233,169.942,14,2,d01t11_even
892.633,580.607,170.602,14,2,d01t11_even
895.606,582.034,170.887,14,2,d01t11_even
863.335,833.221,161.511,15,2,d01t11_even
876.876,838.399,164.029,15,2,d01t11_even
891.141,843.719,166.677,15,2,d01t11_even
904.79,846.093,168.377,15,2,d01t11_even
915.166,848.749,168.117,15,2,d01t11_even
924.381,850.209,167.889,15,2,d01t11_even
935.572,851.981,167.612,15,2,d01t11_even
939.867,854.686,167.498,15,2,d01t11_even
944.0,858.125,167.408,15,2,d01t11_even
220.855,316.939,208.238,16,2,d01t11_even
220.31,304.939,215.818,16,2,d01t11_even
221.011,294.995,221.805,16,2,d01t11_even
224.197,276.138,232.685,16,2,d01t11_even
228.527,260.023,241.574,16,2,d01t11_even
234.203,245.28,249.269,16,2,d01t11_even
234.954,234.994,255.456,16,2,d01t11_even
120.138,1184.42,190.112,17,2,d01t11_even
120.571,1194.22,190.196,17,2,d01t11_even
124.88,1203.02,190.279,17,2,d01t11_even
126.484,1214.17,190.377,17,2,d01t11_even
134.889,1227.72,190.51,17,2,d01t11_even
141.266,1243.01,190.653,17,2,d01t11_even
145.027,1259.39,190.8,17,2,d01t11_even
226.049,1195.25,203.396,18,2,d01t11_even
240.033,1220.69,193.515,18,2,d01t11_even
255.443,1236.2,185.771,18,2,d01t11_even
272.0,1258.55,176.024,18,2,d01t11_even
400.529,1185.47,201.452,19,2,d01t11_even
395.021,1199.75,210.964,19,2,d01t11_even
390.884,1209.83,217.728,19,2,d01t11_even
382.713,1216.8,223.435,19,2,d01t11_even
377.794,1224.13,228.719,19,2,d01t11_even
368.293,1233.88,236.329,19,2,d01t11_even
365.0,1241.38,241.402,19,2,d01t11_even
459.545,1170.12,222.165,20,2,d01t11_even
454.687,1180.26,220.188,20,2,d01t11_even
449.128,1181.63,219.596,20,2,d01t11_even
442.545,1195.02,216.974,20,2,d01t11_even
434.073,1198.76,215.805,20,2,d01t11_even
429.658,1206.93,214.177,20,2,d01t11_even
420.201,1215.44,212.163,20,2,d01t11_even
413.427,1230.65,209.23,20,2,d01t11_even
434.129,1185.35,174.695,21,2,d01t11_even
436.425,1195.67,181.408,21,2,d01t11_even
431.986,1198.28,184.554,21,2,d01t11_even
430.989,1206.96,191.042,21,2,d01t11_even
424.568,1217.71,200.566,21,2,d01t11_even
413.445,1229.29,212.036,21,2,d01t11_even
422.588,1184.91,178.22,22,2,d01t11_even
426.229,1194.69,186.762,22,2,d01t11_even
427.191,1209.27,198.629,22,2,d01t11_even
430.336,1216.75,205.244,22,2,d01t11_even
432.24,1230.66,216.757,22,2,d01t11_even
431.725,1236.42,221.252,22,2,d01t11_even
436.768,1243.04,227.545,22,2,d01t11_even
439.422,1168.8,235.516,23,2,d01t11_even
437.195,1204.67,232.817,23,2,d01t11_even
438.089,1222.24,231.497,23,2,d01t11_even
437.073,1234.59,230.568,23,2,d01t11_even
434.527,1242.92,229.938,23,2,d01t11_even
399.461,1185.88,152.171,24,2,d01t11_even
395.105,1200.93,156.284,24,2,d01t11_even
394.574,1213.72,159.856,24,2,d01t11_even
403.416,1223.41,162.778,24,2,d01t11_even
403.855,1233.43,165.592,24,2,d01t11_even
409.778,1241.82,168.082,24,2,d01t11_even
409.227,1249.59,170.247,24,2,d01t11_even
312.638,1191.96,152.852,25,2,d01t11_even
316.373,1215.67,138.426,25,2,d01t11_even
314.695,1235.34,126.968,25,2,d01t11_even
309.608,1252.19,117.537,25,2,d01t11_even
306.819,1259.52,113.501,25,2,d01t11_even
73.1765,1146.72,125.672,26,2,d01t11_even
66.8796,1158.49,123.753,26,2,d01t11_even
67.0296,1177.9,120.122,26,2,d01t11_even
70.3153,1203.05,115.218,26,2,d01t11_even
73.8046,1229.69,110.026,26,2,d01t11_even
44.9125,1188.18,252.812,27,2,d01t11_even
43.6829,1204.23,245.23,27,2,d01t11_even
44.8354,1222.27,236.436,27,2,d01t11_even
44.989,1242.31,226.783,27,2,d01t11_even
52.6233,1254.89,219.921,27,2,d01t11_even
812.024,950.678,174.369,28,2,d01t11_even
823.571,953.394,184.432,28,2,d01t11_even
839.202,954.08,197.769,28,2,d01t11_even
846.362,959.303,204.344,28,2,d01t11_even
855.462,959.995,212.136,28,2,d01t11_even
860.193,958.349,215.997,28,2,d01t11_even
868.787,959.002,223.356,28,2,d01t11_even
849.0,857.6,192.744,29,2,d01t11_even
866.0,875.6,192.984,29,2,d01t11_even
876.652,896.543,193.326,29,2,d01t11_even
884.458,898.704,193.344,29,2,d01t11_even
889.624,896.998,193.295,29,2,d01t11_even
895.714,897.433,193.285,29,2,d01t11_even
898.77,902.091,193.365,29,2,d01t11_even
904.861,902.526,193.354,29,2,d01t11_even
915.357,907.112,193.41,29,2,d01t11_even
867.074,736.988,189.572,30,2,d01t11_even
883.944,737.177,188.316,30,2,d01t11_even
904.107,741.838,186.858,30,2,d01t11_even
924.953,737.977,185.266,30,2,d01t11_even
947.515,735.137,183.556,30,2,d01t11_even
862.484,654.554,123.465,31,2,d01t11_even
868.138,653.411,125.243,31,2,d01t11_even
877.534,653.08,128.193,31,2,d01t11_even
885.628,656.214,130.819,31,2,d01t11_even
892.049,655.245,132.832,31,2,d01t11_even
908.636,654.31,138.059,31,2,d01t11_even
914.825,656.13,140.044,31,2,d01t11_even
920.332,657.339,141.806,31,2,d01t11_even
925.701,661.232,143.605,31,2,d01t11_even
858.038,637.48,139.643,32,2,d01t11_even
871.567,636.99,146.046,32,2,d01t11_even
880.194,639.275,150.103,32,2,d01t11_even
895.024,639.368,157.077,32,2,d01t11_even
908.519,642.911,163.575,32,2,d01t11_even
923.888,646.967,170.894,32,2,d01t11_even
931.113,646.693,174.333,32,2,d01t11_even
862.122,658.235,198.231,33,2,d01t11_even
875.891,657.079,192.393,33,2,d01t11_even
888.545,660.699,187.578,33,2,d01t11_even
903.893,655.566,180.615,33,2,d01t11_even
919.371,654.967,174.134,33,2,d01t11_even
937.491,651.55,166.226,33,2,d01t11_even
358.097,309.854,256.917,34,2,d01t11_even
355.712,291.261,248.518,34,2,d01t11_even
358.522,278.866,242.926,34,2,d01t11_even
356.126,273.762,240.618,34,2,d01t11_even
357.732,266.471,237.328,34,2,d01t11_even
357.793,251.119,230.374,34,2,d01t11_even
359.07,242.413,226.483,34,2,d01t11_even
160.451,329.479,209.389,35,2,d01t11_even
149.827,312.683,213.57,35,2,d01t11_even
142.034,296.774,217.449,35,2,d01t11_even
137.866,291.489,218.794,35,2,d01t11_even
134.048,257.234,226.68,35,2,d01t11_even
252.131,312.621,191.338,36,2,d01t11_even
251.915,299.514,183.551,36,2,d01t11_even
248.752,290.666,178.539,36,2,d01t11_even
248.219,273.858,168.555,36,2,d01t11_even
249.614,258.479,159.283,36,2,d01t11_even
280.425,309.433,326.131,37,2,d01t11_even
285.746,302.882,321.525,37,2,d01t11_even
289.751,295.423,315.918,37,2,d01t11_even
289.516,279.164,302.105,37,2,d01t11_even
287.235,274.014,297.339,37,2,d01t11_even
281.971,270.895,293.764,37,2,d01t11_even
275.065,266.133,288.506,37,2,d01t11_even
267.5,261.172,282.963,37,2,d01t11_even
263.824,307.354,266.72,38,2,d01t11_even
261.361,298.671,266.651,38,2,d01t11_even
262.156,290.4,266.607,38,2,d01t11_even
271.314,271.306,266.552,38,2,d01t11_even
274.304,255.074,266.474,38,2,d01t11_even
269.303,238.081,266.339,38,2,d01t11_even
270.562,233.029,266.317,38,2,d01t11_even
268.342,26.352,226.205,1,3,d01t11_even
258.081,31.6807,235.29,1,3,d01t11_even
248.188,37.4065,244.336,1,3,d01t11_even
238.904,43.9245,253.382,1,3,d01t11_even
223.156,50.3729,266.484,1,3,d01t11_even
217.879,56.3297,272.723,1,3,d01t11_even
207.07,60.867,281.769,1,3,d01t11_even
962.672,565.583,186.83,2,3,d01t11_even
958.841,575.279,184.124,2,3,d01t11_even
954.71,590.756,179.794,2,3,d01t11_even
950.639,609.641,174.293,2,3,d01t11_even
951.86,633.761,167.051,2,3,d01t11_even
954.876,646.066,162.3,2,3,d01t11_even
958.935,649.444,161.266,2,3,d01t11_even
922.938,552.327,141.565,3,3,d01t11_even
917.927,562.08,143.626,3,3,d01t11_even
917.688,572.481,145.61,3,3,d01t11_even
920.543,585.571,147.976,3,3,d01t11_even
923.177,597.809,150.189,3,3,d01t11_even
921.926,612.811,153.09,3,3,d01t11_even
922.668,620.613,154.54,3,3,d01t11_even
921.257,630.756,156.524,3,3,d01t11_even
919.38,635.569,157.517,3,3,d01t11_even
252.438,12.717,233.49,4,3,d01t11_even
241.072,21.9859,240.554,4,3,d01t11_even
228.753,31.6374,248.059,4,3,d01t11_even
219.997,36.0931,252.474,4,3,d01t11_even
214.387,45.4047,257.773,4,3,d01t11_even
208.033,50.0731,261.525,4,3,d01t11_even
201.366,65.4564,269.472,4,3,d01t11_even
376.855,139.839,218.669,5,3,d01t11_even
367.399,144.83,214.559,5,3,d01t11_even
354.207,150.403,209.088,5,3,d01t11_even
340.328,153.686,203.817,5,3,d01t11_even
325.077,160.22,197.474,5,3,d01t11_even
308.909,163.7,191.399,5,3,d01t11_even
299.884,168.987,187.378,5,3,d01t11_even
295.988,173.158,185.186,5,3,d01t11_even
908.982,547.129,187.358,6,3,d01t11_even
905.189,559.769,192.658,6,3,d01t11_even
900.982,574.277,198.726,6,3,d01t11_even
893.569,590.083,205.607,6,3,d01t11_even
893.569,590.083,205.607,6,3,d01t11_even
885.142,605.143,212.291,6,3,d01t11_even
880.209,616.201,217.081,6,3,d01t11_even
856.168,526.509,192.942,7,3,d01t11_even
856.533,533.226,192.695,7,3,d01t11_even
861.461,544.236,192.465,7,3,d01t11_even
865.11,558.557,192.055,7,3,d01t11_even
870.583,571.229,191.782,7,3,d01t11_even
874.799,582.472,191.515,7,3,d01t11_even
879.32,596.245,191.161,7,3,d01t11_even
429.079,189.269,178.872,8,3,d01t11_even
409.177,218.151,176.419,8,3,d01t11_even
398.27,240.972,174.572,8,3,d01t11_even
389.7,253.297,173.52,8,3,d01t11_even
420.465,176.367,248.283,9,3,d01t11_even
405.15,177.537,245.999,9,3,d01t11_even
389.603,193.099,241.377,9,3,d01t11_even
375.271,212.622,236.287,9,3,d01t11_even
363.111,218.474,233.684,9,3,d01t11_even
355.329,226.403,231.349,9,3,d01t11_even
313.931,76.6558,212.977,10,3,d01t11_even
314.477,94.3331,218.912,10,3,d01t11_even
315.414,113.213,225.261,10,3,d01t11_even
318.645,128.256,230.412,10,3,d01t11_even
321.835,137.747,233.707,10,3,d01t11_even
323.666,148.983,237.534,10,3,d01t11_even
342.07,108.228,186.89,11,3,d01t11_even
334.269,109.459,190.44,11,3,d01t11_even
327.394,112.791,194.682,11,3,d01t11_even
317.535,125.027,204.459,11,3,d01t11_even
310.067,135.987,212.703,11,3,d01t11_even
309.25,144.307,217.132,11,3,d01t11_even
523.858,280.22,145.478,12,3,d01t11_even
515.893,284.168,153.438,12,3,d01t11_even
501.898,280.514,166.009,12,3,d01t11_even
490.202,281.258,177.007,12,3,d01t11_even
478.387,280.961,187.989,12,3,d01t11_even
466.618,285.04,199.514,12,3,d01t11_even
451.17,286.0,214.052,12,3,d01t11_even
874.222,537.144,171.287,13,3,d01t11_even
883.65,564.069,193.252,13,3,d01t11_even
884.479,584.637,208.505,13,3,d01t11_even
880.846,602.495,220.707,13,3,d01t11_even
878.957,616.032,230.163,13,3,d01t11_even
939.911,559.751,178.544,14,3,d01t11_even
932.416,573.704,175.063,14,3,d01t11_even
930.341,586.724,172.076,14,3,d01t11_even
927.814,608.564,167.046,14,3,d01t11_even
924.569,623.329,163.585,14,3,d01t11_even
918.86,632.184,161.352,14,3,d01t11_even
917.744,554.718,161.855,15,3,d01t11_even
915.879,578.373,158.494,15,3,d01t11_even
911.854,592.667,156.395,15,3,d01t11_even
912.279,604.825,154.72,15,3,d01t11_even
909.643,609.102,154.025,15,3,d01t11_even
908.384,620.122,152.452,15,3,d01t11_even
911.988,630.859,151.044,15,3,d01t11_even
864.105,532.443,163.547,16,3,d01t11_even
875.129,570.938,161.872,16,3,d01t11_even
883.804,594.094,160.847,16,3,d01t11_even
886.534,608.839,160.218,16,3,d01t11_even
868.304,535.267,203.26,17,3,d01t11_even
864.707,544.522,206.82,17,3,d01t11_even
871.119,565.709,216.325,17,3,d01t11_even
876.5,579.544,222.642,17,3,d01t11_even
881.129,598.274,230.948,17,3,d01t11_even
899.092,543.966,185.559,18,3,d01t11_even
900.656,564.997,178.541,18,3,d01t11_even
903.948,573.96,175.364,18,3,d01t11_even
903.114,579.48,173.61,18,3,d01t11_even
910.202,592.985,168.636,18,3,d01t11_even
908.874,601.018,166.114,18,3,d01t11_even
912.32,605.77,164.29,18,3,d01t11_even
913.458,618.188,160.135,18,3,d01t11_even
912.539,629.325,156.545,18,3,d01t11_even
357.527,120.971,205.588,19,3,d01t11_even
342.582,124.858,210.147,19,3,d01t11_even
327.683,138.995,217.732,19,3,d01t11_even
318.076,147.614,222.477,19,3,d01t11_even
314.241,157.026,226.14,19,3,d01t11_even
310.243,164.46,229.255,19,3,d01t11_even
