x,y,z,CdrA_molecule,Cell,Tomogram
387.746,380.049,109.758,4,4,d01t22_even
379.367,379.651,107.097,4,4,d01t22_even
371.57,374.477,104.642,4,4,d01t22_even
368.264,362.308,103.642,4,4,d01t22_even
366.318,344.999,103.095,4,4,d01t22_even
364.916,332.921,102.7,4,4,d01t22_even
363.627,327.255,102.314,4,4,d01t22_even
766.25,757.161,189.215,5,4,d01t22_even
760.774,771.951,184.521,5,4,d01t22_even
748.21,780.875,180.402,5,4,d01t22_even
739.346,779.843,179.444,5,4,d01t22_even
733.88,778.787,178.965,5,4,d01t22_even
749.554,773.584,133.246,6,4,d01t22_even
745.022,783.408,133.509,6,4,d01t22_even
734.645,789.372,133.765,6,4,d01t22_even
731.223,794.018,133.906,6,4,d01t22_even
716.969,796.736,134.144,6,4,d01t22_even
704.162,800.924,134.394,6,4,d01t22_even
934.65,774.208,62.4813,7,4,d01t22_even
934.05,783.805,62.2468,7,4,d01t22_even
933.05,793.202,62.0171,7,4,d01t22_even
931.45,800.8,61.8314,7,4,d01t22_even
928.05,806.398,61.6946,7,4,d01t22_even
923.85,812.596,61.5431,7,4,d01t22_even
708.0,769.125,108.0,8,4,d01t22_even
696.0,783.625,108.0,8,4,d01t22_even
691.75,793.125,108.0,8,4,d01t22_even
689.75,801.625,108.0,8,4,d01t22_even
679.25,811.625,108.0,8,4,d01t22_even
680.5,827.125,108.0,8,4,d01t22_even
811.076,1055.01,163.527,1,1,d01t11_even
816.732,1034.69,163.014,1,1,d01t11_even
827.121,1007.63,162.305,1,1,d01t11_even
835.22,989.321,161.817,1,1,d01t11_even
842.32,979.197,161.524,1,1,d01t11_even
847.629,973.739,161.353,1,1,d01t11_even
854.663,972.156,161.255,1,1,d01t11_even
294.125,1373.13,190.923,2,1,d01t11_even
286.535,1362.53,190.809,2,1,d01t11_even
275.608,1349.51,190.661,2,1,d01t11_even
269.824,1342.61,190.582,2,1,d01t11_even
260.455,1336.11,190.486,2,1,d01t11_even
249.282,1325.91,190.355,2,1,d01t11_even
243.497,1319.01,190.277,2,1,d01t11_even
234.498,1308.29,190.155,2,1,d01t11_even
366.296,1315.93,204.76,3,1,d01t11_even
357.014,1305.51,203.03,3,1,d01t11_even
348.368,1297.08,201.547,3,1,d01t11_even
341.017,1287.03,198.989,3,1,d01t11_even
332.517,1277.68,197.423,3,1,d01t11_even
325.978,1268.74,194.48,3,1,d01t11_even
318.512,1258.54,194.325,3,1,d01t11_even
313.161,1250.1,195.075,3,1,d01t11_even
512.1,1219.4,201.337,4,1,d01t11_even
505.412,1206.55,201.277,4,1,d01t11_even
499.044,1202.89,201.222,4,1,d01t11_even
492.23,1204.43,201.162,4,1,d01t11_even
487.076,1199.19,201.117,4,1,d01t11_even
481.07,1199.93,201.065,4,1,d01t11_even
473.849,1202.27,201.002,4,1,d01t11_even
469.843,1203.03,200.967,4,1,d01t11_even
529.618,1210.66,178.331,5,1,d01t11_even
522.471,1207.27,180.573,5,1,d01t11_even
516.632,1206.03,182.354,5,1,d01t11_even
508.803,1205.38,184.711,5,1,d01t11_even
501.185,1204.56,187.01,5,1,d01t11_even
496.341,1203.02,188.504,5,1,d01t11_even
491.961,1202.55,189.826,5,1,d01t11_even
486.022,1198.68,191.722,5,1,d01t11_even
480.962,1199.14,193.217,5,1,d01t11_even
474.315,1200.03,195.171,5,1,d01t11_even
469.632,1202.33,196.493,5,1,d01t11_even
415.428,1276.28,145.956,6,1,d01t11_even
412.022,1269.25,147.905,6,1,d01t11_even
404.751,1264.83,150.286,6,1,d01t11_even
395.798,1258.15,153.425,6,1,d01t11_even
389.374,1249.37,156.347,6,1,d01t11_even
383.398,1241.93,158.945,6,1,d01t11_even
375.471,1234.52,161.976,6,1,d01t11_even
367.443,1228.54,164.79,6,1,d01t11_even
357.862,1216.9,168.903,6,1,d01t11_even
471.691,1240.51,187.178,7,1,d01t11_even
460.418,1237.31,187.073,7,1,d01t11_even
448.187,1233.54,187.031,7,1,d01t11_even
436.878,1230.83,186.806,7,1,d01t11_even
423.064,1228.14,186.381,7,1,d01t11_even
409.535,1224.98,186.09,7,1,d01t11_even
398.547,1221.32,186.118,7,1,d01t11_even
387.561,1294.36,189.114,8,1,d01t11_even
381.809,1280.62,187.996,8,1,d01t11_even
380.301,1267.64,187.037,8,1,d01t11_even
372.498,1243.75,185.147,8,1,d01t11_even
364.933,1227.78,183.827,8,1,d01t11_even
423.927,1271.33,146.79,9,1,d01t11_even
417.002,1264.35,145.085,9,1,d01t11_even
405.971,1258.22,143.096,9,1,d01t11_even
394.871,1241.95,139.623,9,1,d01t11_even
389.529,1229.86,137.331,9,1,d01t11_even
286.322,1382.05,214.277,10,1,d01t11_even
269.852,1369.73,215.801,10,1,d01t11_even
257.735,1357.98,217.015,10,1,d01t11_even
248.849,1354.33,217.735,10,1,d01t11_even
244.453,1348.04,218.244,10,1,d01t11_even
239.701,1341.56,218.784,10,1,d01t11_even
232.226,1339.54,219.354,10,1,d01t11_even
292.248,1376.27,142.451,11,1,d01t11_even
268.498,1355.66,136.868,11,1,d01t11_even
256.723,1348.45,134.605,11,1,d01t11_even
240.877,1328.32,130.091,11,1,d01t11_even
233.587,1319.01,128.007,11,1,d01t11_even
320.773,1354.68,198.863,12,1,d01t11_even
313.374,1348.23,205.081,12,1,d01t11_even
305.788,1339.28,212.616,12,1,d01t11_even
296.352,1334.39,218.833,12,1,d01t11_even
284.117,1322.29,229.914,12,1,d01t11_even
346.547,1328.26,148.978,13,1,d01t11_even
339.98,1319.41,152.678,13,1,d01t11_even
333.216,1314.72,155.229,13,1,d01t11_even
328.876,1302.66,159.439,13,1,d01t11_even
310.048,1269.26,172.325,13,1,d01t11_even
366.328,1309.41,187.161,14,1,d01t11_even
360.94,1291.22,180.01,14,1,d01t11_even
352.897,1277.8,173.88,14,1,d01t11_even
342.397,1259.76,165.707,14,1,d01t11_even
340.386,1249.13,161.766,14,1,d01t11_even
333.786,1240.97,157.679,14,1,d01t11_even
881.422,1021.15,149.303,15,1,d01t11_even
873.521,1007.74,146.007,15,1,d01t11_even
869.133,993.303,142.462,15,1,d01t11_even
861.633,969.51,136.618,15,1,d01t11_even
864.133,945.232,130.654,15,1,d01t11_even
873.016,1022.29,131.904,16,1,d01t11_even
864.607,1005.45,126.954,16,1,d01t11_even
865.757,993.103,124.017,16,1,d01t11_even
862.865,986.964,122.229,16,1,d01t11_even
856.605,960.888,115.204,16,1,d01t11_even
851.302,944.283,110.606,16,1,d01t11_even
849.139,1036.0,133.034,17,1,d01t11_even
839.863,1022.12,139.547,17,1,d01t11_even
836.205,1010.88,144.102,17,1,d01t11_even
837.317,1001.09,147.264,17,1,d01t11_even
